Prompt_Type,From_Species,To_Species,Count,Mean_Target_Mode_Activation_Shift
grounded_factual,I_1,I_1,60,0.8767621518552379
grounded_factual,I_4,I_4,49,2.088023363356276
grounded_factual,I_1,I_4,11,1.6404643067639062
grounded_factual,I_4,I_1,6,0.5678446545454695
grounded_factual,I_2,I_2,5,1.5924199626518942
grounded_factual,I_3,I_3,3,2.1426728823778376
grounded_factual,I_1,I_2,2,1.8801110212609031
grounded_factual,I_1,I_3,1,1.2768481147783373
grounded_factual,I_2,I_1,1,0.43937074338370047
grounded_factual,I_2,I_4,1,0.39716063906722743
grounded_factual,I_3,I_4,1,0.3723566940175839
hallucination_prone,I_1,I_1,115,0.46916776008546524
hallucination_prone,I_4,I_4,17,0.8750448688124616
hallucination_prone,I_1,I_4,6,0.46857366357458524
hallucination_prone,I_4,I_1,2,0.4078040413680025
stylistic_continuation,I_1,I_1,52,0.4491616535237473
stylistic_continuation,I_3,I_3,13,2.8982096002286486
stylistic_continuation,I_1,I_3,2,3.501839096595583
stylistic_continuation,I_3,I_1,2,0.40420583674036936
stylistic_continuation,I_3,I_4,1,1.278818359796936
