Prompt_Type,Step_Index,Mean_Mode_Activation_Shift,Mean_Grounded_Deviation,Mean_Top_Occupation,Mean_Mass,Mean_Z,Mean_Gamma,Mean_Confidence
grounded_factual,0,1.4176600269625432,-1.1368683772161603e-15,126.64717529296875,0.10976021774113179,21.49718532562256,1.1137014836072923,0.28867197409272194
grounded_factual,1,1.3437124749722438,3.9790393202565614e-15,125.4285563659668,0.10515948310494423,19.405799770355223,1.1504188060760498,0.6345324423164129
grounded_factual,2,1.5033244556153664,1.7053025658242404e-15,125.35876892089844,0.10680107586085796,19.947224283218382,1.1451064586639403,0.7550661846995353
grounded_factual,3,1.5905990860173949,0.0,126.12878303527832,0.10493902452290058,19.82113914489746,1.0828773498535156,0.7574875712394714
grounded_factual,4,1.6668892166937233,-3.9790393202565614e-15,125.9932553100586,0.11082834117114544,22.458818435668945,1.0475592732429504,0.773091946542263
grounded_factual,5,1.8465039406070949,-2.842170943040401e-15,126.07536849975585,0.11017650552093983,22.394862937927247,1.0697071731090546,0.744679118692875
grounded_factual,6,2.0563490056561777,-1.1368683772161603e-15,126.79808090209961,0.11042193919420243,22.20317621231079,1.1382642328739165,0.785095538198948
grounded_factual,7,2.1890663898455385,1.7053025658242404e-15,125.57114074707032,0.11825147680938244,22.627549839019775,1.1501339346170425,0.8118494972586632
hallucination_prone,0,0.6091998217041144,-6.583657455444337,120.06351783752442,0.10618995688855648,19.51292152404785,1.25692076086998,0.24822276048362255
hallucination_prone,1,0.6377927784966776,-6.274261856079097,119.15429450988769,0.10411121398210525,18.707725620269777,1.3054721415042878,0.3500072124414146
hallucination_prone,2,0.5655493346387991,-6.439380722045896,118.91938819885254,0.10473649762570858,18.177027320861818,1.2980701982975007,0.7124165341258049
hallucination_prone,3,0.5379527102822909,-7.35411750793457,118.77466552734376,0.10593538247048855,19.658750772476196,1.2699360996484756,0.6519696477800607
hallucination_prone,4,0.6051414248133546,-8.469959411621097,117.5232958984375,0.10979918651282787,21.897081518173216,1.2889018446207046,0.7429452054202557
hallucination_prone,5,0.7271638115721292,-8.31662292480469,117.75874557495118,0.11035755276679993,21.491873931884765,1.2675468355417252,0.7638004362583161
hallucination_prone,6,0.7478566558944532,-8.999288253784181,117.79879264831543,0.10871868580579758,21.029007530212404,1.2815219581127166,0.8038150534033776
hallucination_prone,7,0.8417604983667383,-7.570956192016599,118.0001845550537,0.1066086445003748,20.859707069396972,1.2827301502227784,0.7126273348927498
stylistic_continuation,0,1.6075126998516274,-0.9235302734375012,125.72364501953125,0.10857664570212364,20.340167427062987,1.0995216369628906,0.4620010495185852
stylistic_continuation,1,1.8580649900423842,0.5536734008789103,125.9822297668457,0.10146145671606063,17.634136486053468,1.151686930656433,0.5070318877696991
stylistic_continuation,2,1.92285221577012,1.3557470703125016,126.71451599121093,0.10973316952586173,21.405462646484374,1.110822719335556,0.4951592028141022
stylistic_continuation,3,1.7037119766073774,0.34539207458496096,126.47417510986328,0.10855119228363037,20.529535484313964,1.1338762044906616,0.545336976647377
stylistic_continuation,4,1.453125311805541,-0.6126567077636759,125.38059860229492,0.1094932347536087,21.804019069671632,1.131425952911377,0.5134031116962433
stylistic_continuation,5,1.4711864141198339,-1.2607342529296903,124.81463424682617,0.11084291562438012,22.24445972442627,1.091154807806015,0.7165629923343658
stylistic_continuation,6,1.67797324407571,-0.5910961914062511,126.20698471069336,0.10600832253694534,19.63705997467041,1.0849077522754669,0.7053846895694733
stylistic_continuation,7,2.009576891757781,0.8618649291992204,126.43300567626953,0.10885502398014069,20.583973503112794,1.088709729909897,0.7347927048802376
