Name,Spin,Mass(pole),Mass(lat),Mass(bare),Mass(ren),Category,Momentum,Helicity,v_group,FP Layer,FP Type,gamma,Z,Layers,Amplitude,Active In
I_0,1.78,0.1147,0.0034,-0.3322,-0.1671,medium,3.142,0.00,0.000,16,crossover,0.074,16.418,7-36,10080.2,"arithmetic, factual_recall, logical_reasoning"
I_1,0.73,0.1147,0.0184,-0.3021,-0.1317,medium,0.000,0.17,0.000,14,crossover,1.155,20.176,21-36,291.3,logical_reasoning
I_2,0.98,0.1241,0.0170,-0.3021,-0.1317,medium,0.000,0.23,0.000,14,crossover,1.155,20.176,20-36,282.0,arithmetic
I_3,0.92,0.1181,0.0063,-0.3021,-0.1317,medium,0.000,0.15,0.000,14,crossover,1.155,20.176,22-36,239.4,syntactic_agreement
I_4,0.83,0.1094,0.0075,-0.3021,-0.1317,medium,0.000,0.14,0.000,14,crossover,1.155,20.176,21-36,239.0,pronoun_tracking
I_5,1.01,0.1193,0.0074,-0.3021,-0.1317,medium,0.000,0.17,0.000,14,crossover,1.155,20.176,21-36,226.1,factual_recall
