Prompt_Type,Step_Index,Mean_Mode_Activation_Shift,Mean_Grounded_Deviation,Mean_Top_Occupation,Mean_Mass,Mean_Z,Mean_Gamma,Mean_Confidence
grounded_factual,0,1.1031968578242035,-5.684341886080802e-16,70.1390779876709,0.10535680651664733,14.228167057037354,0.7727196931838989,0.43689681217074394
grounded_factual,1,0.969765787340205,-5.684341886080802e-16,70.26766284942627,0.11878555305302144,13.5681476354599,0.8188477784395218,0.7647270247340202
grounded_factual,2,0.9656156504849441,-5.684341886080802e-16,70.91586936950684,0.0962515864521265,14.236824369430542,0.7906121402978897,0.9400629609823227
grounded_factual,3,1.0739395131133616,-4.547473508864641e-15,71.40405055999756,0.11212348304688931,13.919941282272339,0.6866274267435074,0.7577497661113739
grounded_factual,4,1.2271502783765513,-1.7053025658242404e-15,71.40616905212403,0.11245787255465985,14.124656152725219,0.6850275352597237,0.8127308994531631
grounded_factual,5,1.3059573685476054,-2.2737367544323206e-15,72.88478656768798,0.11108372956514359,13.663349056243897,0.6855507180094719,0.8979798808693886
grounded_factual,6,1.3689589021536523,1.1368683772161603e-15,74.08410617828369,0.11908614709973335,13.513051652908326,0.6997485920786858,0.8210622802376747
grounded_factual,7,1.3651535134991983,2.2737367544323206e-15,73.32359622955322,0.1347560342401266,14.001133918762207,0.7193322479724884,0.7885211557149887
hallucination_prone,0,0.4120104904252475,-8.886399230957032,61.25267875671387,0.10411547422409058,13.69186716079712,0.8064143985509873,0.23534485436975955
hallucination_prone,1,0.38860137232506825,-9.46172576904297,60.8059370803833,0.11011711172759533,13.443004131317139,0.872757226228714,0.4147908007726073
hallucination_prone,2,0.40595994413939507,-10.734536857604981,60.18133251190186,0.10337185338139535,13.254166984558106,0.9094382107257843,0.7579999946057796
hallucination_prone,3,0.38569536177249575,-11.164359703063969,60.23969085693359,0.10907936841249466,12.8931556224823,0.8454276919364929,0.767563420534134
hallucination_prone,4,0.39461340508602943,-10.91778560638428,60.48838344573974,0.10544172264635562,13.552499341964722,0.7931107252836227,0.7297092087566852
hallucination_prone,5,0.3160643371368099,-10.953673591613772,61.93111297607422,0.1492472615092993,12.99238896369934,0.8199065327644348,0.6503356570377946
hallucination_prone,6,0.37219274256030455,-11.22242977142334,62.861676406860354,0.11690772883594036,12.214161825180053,0.8437563121318817,0.6307646088302136
hallucination_prone,7,0.4002268338790659,-10.271464767456052,63.052131462097165,0.10495737046003342,13.72563624382019,0.8497437387704849,0.7211552523076534
stylistic_continuation,0,0.4641974349701314,-5.574353179931641,64.56472480773925,0.11630484536290168,16.136367893218996,0.7582987666130065,0.33898444175720216
stylistic_continuation,1,0.48126615411375645,-5.761839714050293,64.50582313537598,0.11261449605226517,14.460947513580322,0.7965446054935456,0.3620551124215126
stylistic_continuation,2,0.4959010957541415,-5.605501937866211,65.31036743164063,0.10136227384209633,16.178480339050292,0.7451470375061036,0.3370104879140854
stylistic_continuation,3,0.451694118766733,-5.960158958435063,65.4438916015625,0.11220207214355468,14.489941787719726,0.718463796377182,0.5516053169965744
stylistic_continuation,4,0.5328622313293164,-5.639614715576174,65.76655433654786,0.10273497626185417,16.62762317657471,0.7096503913402558,0.4583591565489769
stylistic_continuation,5,0.5726571768704133,-5.180887947082522,67.70389862060547,0.11744955778121949,16.82264451980591,0.6826236367225647,0.4775329984724522
stylistic_continuation,6,0.6153573176818711,-5.456879692077636,68.62722648620606,0.11486607119441032,15.65738649368286,0.6328866899013519,0.529917697608471
stylistic_continuation,7,0.6467056580715258,-4.68539409637451,68.63820213317871,0.12834332287311553,14.438838863372803,0.6536428302526474,0.6422542452812194
