Name,Spin,Mass(pole),Mass(lat),Mass(bare),Mass(ren),Category,Momentum,Helicity,v_group,FP Layer,FP Type,gamma,Z,Layers,Amplitude,Active In
I_0,1.84,0.1275,0.0083,-0.3013,-0.1343,medium,3.142,0.02,0.000,16,crossover,0.071,11.264,7-36,6167.1,"arithmetic, factual_recall, logical_reasoning"
I_1,0.68,0.1229,0.0508,-0.3054,-0.1288,medium,0.000,0.14,0.000,13,IR,0.924,12.230,20-36,173.0,logical_reasoning
I_2,0.81,0.1194,0.0388,-0.3054,-0.1288,medium,0.000,0.13,0.000,13,IR,0.924,12.230,20-36,161.8,arithmetic
I_3,0.84,0.1268,0.0395,-0.3054,-0.1288,medium,0.000,0.09,0.000,13,IR,0.924,12.230,23-36,146.7,syntactic_agreement
I_4,0.77,0.1395,0.0355,-0.3054,-0.1288,medium,0.000,0.09,0.000,13,IR,0.924,12.230,20-36,145.2,pronoun_tracking
I_5,0.96,0.1368,0.0218,-0.3054,-0.1288,medium,0.000,0.10,0.000,13,IR,0.924,12.230,20-36,137.3,factual_recall
