Prompt_Type,From_Species,To_Species,Count,Mean_Target_Mode_Activation_Shift
grounded_factual,I_5,I_5,110,1.910277066285755
grounded_factual,I_1,I_1,13,0.8683549855266156
grounded_factual,I_2,I_2,6,1.5889427510894671
grounded_factual,I_1,I_5,5,0.36040242077854573
grounded_factual,I_5,I_1,3,0.5264984181272335
grounded_factual,I_5,I_2,1,3.2453585232543274
grounded_factual,I_1,I_2,1,0.42714345735781867
grounded_factual,I_2,I_5,1,0.3986506013321229
hallucination_prone,I_5,I_5,83,0.37525295125463154
hallucination_prone,I_1,I_1,33,0.39053169049626324
hallucination_prone,I_1,I_5,8,0.3854113976201957
hallucination_prone,I_2,I_2,4,0.43021264589675745
hallucination_prone,I_5,I_1,4,0.41376664248579226
hallucination_prone,I_3,I_5,2,0.4119572440283843
hallucination_prone,I_1,I_2,1,0.4454441687213727
hallucination_prone,I_2,I_1,1,0.4246869733678647
hallucination_prone,I_1,I_3,1,0.4208706176029988
hallucination_prone,I_3,I_3,1,0.4079640166955539
hallucination_prone,I_5,I_3,1,0.13537818125902584
hallucination_prone,I_3,I_1,1,0.11607241727692061
stylistic_continuation,I_3,I_3,42,0.5165615760920983
stylistic_continuation,I_4,I_4,13,1.454060299766869
stylistic_continuation,I_3,I_5,3,0.38963833806389053
stylistic_continuation,I_5,I_5,3,0.22092782774534026
stylistic_continuation,I_3,I_4,2,0.4232764751958193
stylistic_continuation,I_1,I_1,2,0.4100597530724951
stylistic_continuation,I_4,I_3,2,0.40370791294896086
stylistic_continuation,I_1,I_3,1,0.4106968751298734
stylistic_continuation,I_3,I_1,1,0.4084078861522027
stylistic_continuation,I_5,I_3,1,0.4027687149243899
